iter	Logloss
0	0.6843697821
1	0.6752713548
2	0.6676257549
3	0.6598280094
4	0.6531874922
5	0.6472472723
6	0.6412884481
7	0.6364069721
8	0.6313454255
9	0.6264198545
10	0.6217257835
11	0.6174987175
12	0.6136135202
13	0.6099676463
14	0.6064010667
15	0.6031294752
16	0.6000865963
17	0.5973237072
18	0.59445565
19	0.5917021154
20	0.5893901669
21	0.5873227368
22	0.5852087552
23	0.5833717534
24	0.5806318085
25	0.5790133864
26	0.57715364
27	0.5755106739
28	0.5737925568
29	0.5720834684
30	0.5705608577
31	0.5692914085
32	0.5671296783
33	0.5657754767
34	0.5642195392
35	0.5629783056
36	0.5616945815
37	0.5605827537
38	0.5594152612
39	0.5582877524
40	0.5574013345
41	0.5562583314
42	0.5553311318
43	0.5532567944
44	0.5523545618
45	0.5514454319
46	0.5496911962
47	0.5490424966
48	0.5482580749
49	0.5464829038
50	0.5457183534
51	0.5449394107
52	0.5435242386
53	0.5428127221
54	0.5423863699
55	0.5414696486
56	0.5408407983
57	0.5402109729
58	0.5395720989
59	0.5388475183
60	0.5382221748
61	0.5375643226
62	0.5369410265
63	0.5362557686
64	0.5357317145
65	0.5352292496
66	0.5346013143
67	0.5340809739
68	0.5336943342
69	0.5329628462
70	0.532548127
71	0.5313421384
72	0.5309561441
73	0.5303792959
74	0.5298186798
75	0.5294075841
76	0.5288935743
77	0.5285082678
78	0.5281316917
79	0.5276503192
80	0.5271642245
81	0.5267240605
82	0.5261852817
83	0.5259361828
84	0.5256266515
85	0.525094796
86	0.5245814424
87	0.5242083542
88	0.5239128276
89	0.5235809859
90	0.5230659996
91	0.5226505188
92	0.5221802944
93	0.5218317051
94	0.5214342292
95	0.5209186741
96	0.5205750518
97	0.5200328391
98	0.5197198782
99	0.5194387007
100	0.5192276772
101	0.5188802174
102	0.518452473
103	0.5183221862
104	0.5179580919
105	0.516385189
106	0.5160383767
107	0.515770057
108	0.5154038206
109	0.5151788073
110	0.5149176526
111	0.5137529545
112	0.5134334467
113	0.5132979307
114	0.5129399363
115	0.5126643298
116	0.5123911659
117	0.5120802998
118	0.5115722823
119	0.5112998732
120	0.510897634
121	0.5105068382
122	0.5100953746
123	0.509875126
124	0.5094850163
125	0.5092329879
126	0.5086994112
127	0.508147931
128	0.5078993656
129	0.5077003415
130	0.5075523552
131	0.5073482883
132	0.5070183437
133	0.5065473962
134	0.5062450837
135	0.505963393
136	0.5057790527
137	0.5055741459
138	0.5053523603
139	0.5051354525
140	0.5049491368
141	0.5046909795
142	0.5042185667
143	0.5039408709
144	0.5033536828
145	0.5031077893
146	0.5024758074
147	0.5021321999
148	0.501752434
149	0.5014888131
150	0.5005747842
151	0.5003652407
152	0.5000515885
153	0.4998474965
154	0.499621445
155	0.4993580906
156	0.4990071235
157	0.4987727835
158	0.4979288218
159	0.4977223694
160	0.4976383799
161	0.4973954802
162	0.497166625
163	0.4969742147
164	0.4967100789
165	0.4961884634
166	0.49603845
167	0.4953667125
168	0.495150306
169	0.4948145199
170	0.4945529499
171	0.4942694246
172	0.493997178
173	0.493850459
174	0.4933868808
175	0.4932063874
176	0.4930821259
177	0.4929408938
178	0.4928559409
179	0.4924423837
180	0.4915785479
181	0.4908307178
182	0.4905802848
183	0.4903454404
184	0.4902348299
185	0.4900947724
186	0.489800771
187	0.4890780511
188	0.488753131
189	0.4886517601
190	0.4884069822
191	0.4882312129
192	0.4880543681
193	0.4877493321
