iter	Passed	Remaining
0	191	191232
1	204	102145
2	217	72164
3	228	56934
4	239	47668
5	250	41427
6	259	36864
7	270	33492
8	279	30748
9	289	28644
10	298	26858
11	307	25307
12	317	24111
13	327	23098
14	337	22168
15	347	21387
16	358	20705
17	368	20102
18	377	19481
19	386	18940
20	399	18645
21	412	18315
22	423	17972
23	433	17646
24	444	17341
25	455	17056
26	464	16728
27	474	16466
28	484	16229
29	495	16005
30	505	15791
31	515	15595
32	525	15409
33	535	15206
34	545	15036
35	555	14874
36	566	14736
37	579	14666
38	590	14562
39	602	14453
40	613	14339
41	623	14223
42	633	14108
43	644	13996
44	654	13888
45	664	13785
46	674	13667
47	684	13576
48	695	13489
49	705	13402
50	715	13322
51	726	13239
52	736	13165
53	747	13094
54	758	13025
55	770	12990
56	782	12948
57	793	12887
58	803	12823
59	814	12763
60	825	12705
61	835	12643
62	846	12585
63	856	12532
64	867	12474
65	877	12421
66	888	12368
67	898	12314
68	908	12260
69	919	12212
70	929	12161
71	941	12138
72	953	12108
73	963	12059
74	974	12013
75	983	11962
76	994	11916
77	1003	11866
78	1013	11813
79	1023	11769
80	1033	11722
81	1042	11676
82	1052	11631
83	1062	11586
84	1072	11544
85	1082	11499
86	1092	11460
87	1102	11421
88	1112	11389
89	1124	11369
90	1135	11346
91	1148	11331
92	1157	11293
93	1168	11259
94	1178	11222
95	1187	11186
96	1198	11154
97	1208	11121
98	1218	11089
99	1228	11057
100	1238	11024
101	1248	10991
102	1258	10958
103	1264	10890
104	1274	10860
105	1283	10828
106	1295	10815
107	1308	10809
108	1321	10804
109	1331	10776
110	1342	10748
111	1351	10719
112	1362	10692
113	1370	10651
114	1380	10625
115	1390	10598
116	1400	10570
117	1410	10543
118	1420	10517
119	1430	10490
120	1440	10464
121	1450	10436
122	1459	10409
123	1469	10384
124	1479	10358
125	1492	10354
126	1504	10341
127	1514	10318
128	1524	10295
129	1536	10279
130	1546	10257
131	1557	10239
132	1566	10211
133	1577	10191
134	1587	10170
135	1597	10146
136	1607	10125
137	1617	10105
138	1627	10083
139	1638	10062
140	1648	10043
141	1658	10022
142	1670	10013
143	1682	10001
144	1692	9979
145	1702	9960
146	1712	9939
147	1723	9919
148	1733	9903
149	1744	9884
150	1754	9865
151	1768	9865
152	1780	9854
153	1791	9839
154	1803	9833
155	1815	9824
156	1826	9808
157	1840	9807
158	1852	9800
159	1864	9786
160	1878	9786
161	1890	9778
162	1901	9764
163	1914	9756
164	1926	9747
165	1937	9733
166	1947	9715
167	1958	9699
168	1969	9684
169	1979	9665
170	1990	9648
171	2000	9631
172	2011	9615
173	2021	9598
174	2033	9587
175	2045	9576
176	2055	9555
177	2064	9535
178	2074	9514
179	2084	9495
180	2096	9486
181	2108	9476
182	2120	9467
183	2132	9455
184	2143	9442
185	2154	9431
186	2166	9420
187	2178	9409
188	2190	9398
189	2204	9399
190	2216	9389
191	2229	9381
192	2240	9366
193	2251	9355
194	2263	9343
195	2273	9325
196	2283	9308
197	2293	9291
198	2304	9274
199	2314	9256
200	2323	9237
201	2333	9219
202	2343	9200
203	2354	9185
204	2364	9169
205	2375	9155
206	2386	9142
207	2399	9137
208	2410	9122
209	2421	9108
210	2431	9093
211	2442	9079
212	2454	9068
213	2465	9055
214	2477	9044
215	2488	9033
216	2500	9020
217	2511	9009
218	2522	8997
219	2534	8984
220	2548	8984
221	2561	8976
222	2575	8973
223	2586	8960
224	2598	8948
225	2609	8937
226	2621	8926
227	2633	8915
228	2644	8904
229	2657	8896
230	2683	8934
231	2695	8922
232	2706	8908
233	2716	8893
234	2728	8880
235	2740	8870
236	2752	8861
237	2762	8845
238	2773	8829
239	2783	8814
240	2793	8797
241	2803	8781
242	2813	8764
243	2824	8751
244	2834	8735
245	2845	8720
246	2856	8709
247	2868	8698
248	2879	8684
249	2891	8673
250	2902	8662
251	2915	8653
252	2929	8649
253	2940	8636
254	2957	8641
255	2970	8632
256	2982	8623
257	2995	8615
258	3008	8606
259	3021	8598
260	3033	8590
261	3044	8577
262	3054	8560
263	3065	8547
264	3076	8532
265	3086	8516
266	3096	8500
267	3108	8491
268	3119	8477
269	3129	8459
270	3138	8442
271	3147	8424
272	3157	8407
273	3166	8390
274	3175	8373
275	3185	8355
276	3194	8338
277	3204	8321
278	3213	8303
279	3222	8287
280	3232	8270
281	3241	8252
282	3251	8237
283	3261	8221
284	3270	8204
285	3281	8193
286	3293	8182
287	3303	8167
288	3313	8152
289	3323	8137
290	3333	8122
291	3343	8107
292	3353	8091
293	3363	8076
294	3373	8061
295	3382	8044
296	3391	8028
297	3401	8012
298	3411	7997
299	3421	7982
300	3431	7968
301	3441	7953
302	3451	7938
303	3460	7923
304	3476	7922
305	3486	7907
306	3496	7893
307	3506	7877
308	3516	7863
309	3526	7848
310	3535	7833
311	3545	7818
312	3555	7803
313	3564	7788
314	3574	7773
315	3584	7758
316	3594	7744
317	3604	7730
318	3614	7715
319	3624	7702
320	3634	7688
321	3649	7685
322	3660	7672
323	3670	7658
324	3680	7644
325	3691	7631
326	3700	7616
327	3710	7601
328	3719	7586
329	3729	7572
330	3739	7557
331	3749	7543
332	3758	7529
333	3769	7515
334	3778	7501
335	3788	7487
336	3798	7473
337	3808	7459
338	3823	7455
339	3835	7446
340	3847	7435
341	3858	7424
342	3869	7411
343	3881	7401
344	3892	7390
345	3904	7380
346	3917	7371
347	3928	7361
348	3939	7349
349	3951	7338
350	3961	7325
351	3972	7312
352	3983	7300
353	3993	7288
354	4004	7275
355	4014	7262
356	4027	7254
357	4038	7242
358	4048	7229
359	4059	7216
360	4069	7204
361	4080	7190
362	4090	7178
363	4100	7164
364	4110	7151
365	4120	7137
366	4130	7124
367	4140	7110
368	4149	7096
369	4159	7082
370	4169	7069
371	4179	7055
372	4190	7044
373	4200	7031
374	4210	7016
375	4220	7004
376	4230	6990
377	4240	6977
378	4250	6964
379	4260	6950
380	4269	6937
381	4279	6923
382	4288	6909
383	4298	6895
384	4307	6881
385	4317	6868
386	4327	6854
387	4336	6840
388	4345	6825
